No.,Time,Source,Destination,Protocol,Length
1069,2024-08-07 10:11:02,172.16.236.110,224.0.0.22,IGMP,60
1070,2024-08-07 10:11:02,172.16.226.24,224.0.0.22,IGMP,60
1071,2024-08-07 10:11:02,172.16.224.186,224.0.0.22,IGMP,60
1072,2024-08-07 10:11:02,172.16.12.2,239.255.255.250,IGMP,60
1073,2024-08-07 10:11:02,172.16.225.140,224.0.0.22,IGMP,60
1074,2024-08-07 10:11:02,172.16.215.196,224.0.0.22,IGMP,60
1075,2024-08-07 10:11:02,172.16.223.38,224.0.0.22,IGMP,60
1076,2024-08-07 10:11:02,172.16.229.155,224.0.0.22,IGMP,60
1077,2024-08-07 10:11:02,172.16.223.142,224.0.0.22,IGMP,60
1078,2024-08-07 10:11:02,172.16.234.240,224.0.0.22,IGMP,60
1079,2024-08-07 10:11:02,172.16.225.147,224.0.0.22,IGMP,60
1080,2024-08-07 10:11:02,172.16.9.124,224.0.0.22,IGMP,60
1081,2024-08-07 10:11:02,172.16.9.110,224.0.0.22,IGMP,60
1082,2024-08-07 10:11:02,172.16.8.14,224.0.0.22,IGMP,60
1083,2024-08-07 10:11:02,172.16.9.14,224.0.0.22,IGMP,60
1084,2024-08-07 10:11:02,172.16.244.252,224.0.0.22,IGMP,60
1085,2024-08-07 10:11:02,172.16.223.208,224.0.0.22,IGMP,60
1086,2024-08-07 10:11:02,172.16.222.225,224.0.0.22,IGMP,60
1087,2024-08-07 10:11:02,172.16.236.68,224.0.0.22,IGMP,60
1088,2024-08-07 10:11:02,172.16.21.73,224.0.0.22,IGMP,60
1089,2024-08-07 10:11:02,172.16.230.131,224.0.0.22,IGMP,60
1090,2024-08-07 10:11:02,172.16.8.80,224.0.0.22,IGMP,60
1091,2024-08-07 10:11:02,172.16.8.16,239.255.255.250,IGMP,60
1092,2024-08-07 10:11:02,172.16.235.249,224.0.0.22,IGMP,60
1093,2024-08-07 10:11:02,172.16.212.149,224.0.0.22,IGMP,60
1094,2024-08-07 10:11:02,172.16.231.88,224.0.0.22,IGMP,60
1095,2024-08-07 10:11:02,172.16.211.202,224.0.0.22,IGMP,60
1096,2024-08-07 10:11:02,172.16.211.158,224.0.0.22,IGMP,60
1097,2024-08-07 10:11:02,172.16.213.165,224.0.0.22,IGMP,60
1098,2024-08-07 10:11:02,172.16.230.8,224.0.0.22,IGMP,60
1099,2024-08-07 10:11:02,172.16.226.110,224.0.0.22,IGMP,60
1100,2024-08-07 10:11:02,172.16.8.40,224.0.0.22,IGMP,60
1101,2024-08-07 10:11:03,172.16.234.139,224.0.0.22,IGMP,60
1121,2024-08-07 10:11:03,172.16.221.194,224.0.0.251,UDP,339
1158,2024-08-07 10:11:03,172.16.229.197,224.0.0.22,IGMP,60
1159,2024-08-07 10:11:03,172.16.238.125,224.0.0.22,IGMP,60
1160,2024-08-07 10:11:03,172.16.231.100,224.0.0.22,IGMP,60
1161,2024-08-07 10:11:03,172.16.220.106,224.0.0.22,IGMP,60
1162,2024-08-07 10:11:03,172.16.30.228,224.0.0.22,IGMP,60
1163,2024-08-07 10:11:03,172.16.223.87,224.0.0.22,IGMP,60
1164,2024-08-07 10:11:03,172.16.215.179,224.0.0.22,IGMP,54
1165,2024-08-07 10:11:03,172.16.224.169,224.0.0.22,IGMP,60
1166,2024-08-07 10:11:03,172.16.227.244,224.0.0.22,IGMP,60
1167,2024-08-07 10:11:03,172.16.26.233,224.0.0.22,IGMP,60
1168,2024-08-07 10:11:03,172.16.225.202,224.0.0.22,IGMP,60
1169,2024-08-07 10:11:03,172.16.231.75,224.0.0.22,IGMP,60
1170,2024-08-07 10:11:03,172.16.231.241,224.0.0.22,IGMP,60
1171,2024-08-07 10:11:03,172.16.228.191,224.0.0.22,IGMP,60
1172,2024-08-07 10:11:03,172.16.232.200,224.0.0.22,IGMP,60
1173,2024-08-07 10:11:03,172.16.229.54,224.0.0.22,IGMP,60
1174,2024-08-07 10:11:03,172.16.1.2,224.0.0.22,IGMP,60
1175,2024-08-07 10:11:03,172.16.243.59,224.0.0.22,IGMP,60
1176,2024-08-07 10:11:03,172.16.215.85,224.0.0.22,IGMP,60
1177,2024-08-07 10:11:03,172.16.227.180,224.0.0.22,IGMP,60
1178,2024-08-07 10:11:03,172.16.229.78,224.0.0.22,IGMP,60
1179,2024-08-07 10:11:03,172.16.236.119,224.0.0.22,IGMP,60
1180,2024-08-07 10:11:03,172.16.239.37,224.0.0.22,IGMP,60
1181,2024-08-07 10:11:03,172.16.232.173,224.0.0.22,IGMP,60
1182,2024-08-07 10:11:03,172.16.237.69,224.0.0.22,IGMP,60
1183,2024-08-07 10:11:03,172.16.236.151,224.0.0.22,IGMP,60
1184,2024-08-07 10:11:03,172.16.21.189,224.0.0.22,IGMP,60
1185,2024-08-07 10:11:03,172.16.228.56,224.0.0.22,IGMP,60
1186,2024-08-07 10:11:03,172.16.215.198,224.0.0.22,IGMP,60
1187,2024-08-07 10:11:03,172.16.21.190,224.0.0.22,IGMP,60
1188,2024-08-07 10:11:03,172.16.228.11,224.0.0.22,IGMP,60
1189,2024-08-07 10:11:03,172.16.221.6,224.0.0.22,IGMP,60
1190,2024-08-07 10:11:03,172.16.224.57,224.0.0.22,IGMP,60
1191,2024-08-07 10:11:03,172.16.230.30,224.0.0.22,IGMP,60
1192,2024-08-07 10:11:03,172.16.237.248,224.0.0.22,IGMP,60
1193,2024-08-07 10:11:03,172.16.219.200,224.0.0.22,IGMP,60
1194,2024-08-07 10:11:03,172.16.241.91,224.0.0.22,IGMP,60
1195,2024-08-07 10:11:03,172.16.240.156,224.0.0.22,IGMP,60
1196,2024-08-07 10:11:03,172.16.236.181,224.0.0.22,IGMP,60
